Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,30.490000,30.798571,27.178572,27.437143,23.873083,3792248600
2010-02-01,27.481428,29.309999,27.264286,29.231428,25.434294,2694020000
2010-03-01,29.392857,33.925713,29.350000,33.571430,29.210531,3038543200
2010-04-01,33.915714,38.922855,33.250000,37.298573,32.453526,3091782400
2010-05-01,37.691429,38.268570,28.464285,36.697144,31.930222,4520663700
2010-06-01,37.098572,39.858570,34.599998,35.932858,31.265219,4162813200
2010-07-01,36.328571,37.998573,34.228573,36.750000,31.976212,3917426100
2010-08-01,37.205715,37.754284,33.651428,34.728573,30.217363,2397280200
2010-09-01,35.352856,42.104286,35.182858,40.535713,35.270157,2962479800
2010-10-01,40.878571,45.571430,39.681427,42.997143,37.411850,3058644400
2010-11-01,43.174286,45.900002,42.537144,44.450001,38.675980,2377021500
2010-12-01,45.038570,46.665714,44.984287,46.080002,40.094254,1743308700
2011-01-01,46.520000,49.799999,46.405716,48.474285,42.177521,2710383900
2011-02-01,48.757141,52.128571,48.245716,50.458572,43.904057,2323987400
2011-03-01,50.781429,51.667141,46.608570,49.787144,43.319843,2826614700
2011-04-01,50.158573,50.732857,45.737144,50.018570,43.521210,2313457300
2011-05-01,49.962856,50.261429,47.060001,49.689999,43.235306,1728015100
2011-06-01,49.838570,50.304287,44.357143,47.952858,41.723824,2315962600
2011-07-01,47.992859,57.785713,47.742859,55.782856,48.536709,2663486700
2011-08-01,56.825714,57.071430,50.431427,54.975716,47.834419,4035649800
2011-09-01,55.117142,60.408573,52.354286,54.474285,47.398132,2994362000
2011-10-01,54.338570,60.957142,50.605713,57.825714,50.314209,3285356900
2011-11-01,56.772858,58.285713,51.902859,54.599998,47.507519,2240925400
2011-12-01,54.648571,58.441429,53.954285,57.857143,50.341557,1576633100
2012-01-01,58.485714,65.462860,58.428570,65.211426,56.740505,1714963600
2012-02-01,65.487144,78.230003,64.854286,77.491432,67.425362,2842138600
2012-03-01,78.309998,88.778572,73.745712,85.650002,74.524162,3896084500
2012-04-01,85.975716,92.000000,79.285713,83.425713,72.588791,3899747600
2012-05-01,83.557144,85.251427,74.597145,82.532860,71.811905,2776586400
2012-06-01,81.308571,84.285713,78.357140,83.428574,72.591286,1963956400
2012-07-01,83.532860,88.552856,81.428574,87.251427,75.917549,2227412600
2012-08-01,87.987144,97.267143,85.750000,95.034286,82.689430,2069051600
2012-09-01,95.108574,100.724289,93.714287,95.300003,83.276634,2299751300
2012-10-01,95.879997,96.678574,83.957146,85.045715,74.316071,3035707500
2012-11-01,85.459999,86.142860,72.250000,83.611427,73.062752,3232462800
2012-12-01,84.807144,84.941429,71.604286,76.024284,66.736229,3033188200
2013-01-01,79.117142,79.285713,62.142857,65.070000,57.120266,3280855900
2013-02-01,65.587143,69.277145,62.522858,63.057144,55.353321,2336008500
2013-03-01,62.571430,67.135712,59.857143,63.237144,55.834843,2294219200
2013-04-01,63.128571,63.607143,55.014286,63.254284,55.849964,2740872400
2013-05-01,63.494286,66.535713,59.842857,64.247147,56.726608,2361882600
2013-06-01,64.389999,64.918571,55.552856,56.647144,50.347298,1754634000
2013-07-01,57.527142,65.334282,57.317142,64.647141,57.457600,1634528700
2013-08-01,65.107140,73.391426,64.751427,69.602859,61.862198,2014584600
2013-09-01,70.442856,72.559998,63.888573,68.107140,60.932487,2157735300
2013-10-01,68.349998,77.035713,68.325714,74.671425,66.805275,1959433000
2013-11-01,74.860001,79.761429,73.197144,79.438568,71.070206,1306288900
2013-12-01,79.714287,82.162857,76.971428,80.145714,72.121513,1764349300
2014-01-01,79.382858,80.028572,70.507141,71.514282,64.354248,2191488600
2014-02-01,71.801430,78.741432,71.328575,75.177139,67.650391,1470091700
2014-03-01,74.774284,78.428574,74.687141,76.677139,69.413216,1250424700
2014-04-01,76.822861,85.632858,73.047142,84.298569,76.312637,1608765200
2014-05-01,84.571426,92.024284,82.904289,90.428574,81.861923,1433917100
2014-06-01,90.565712,95.050003,88.928574,92.930000,84.596260,1206934800
2014-07-01,93.519997,99.440002,92.570000,95.599998,87.026825,1035086000
2014-08-01,94.900002,102.900002,93.279999,102.500000,93.308037,937077000
2014-09-01,103.059998,103.739998,96.139999,100.750000,92.171188,1526420000
